Date,Month,Product,Product Family,Quarter,Region EN,Select level,Territory EN,Year,Arrow up and down,CY Patients,"CY to PY, %","CY to PY, % negative (for tooltip)","CY to PY, % positive (for tooltip)",Diagnosed Patients,Number of Records,PY Patients
23/07/2019,7,Prd2,FAM1,3,Ural & W.Siberia,FAM1,Kurgan Oblast,2019,↓,0,-1,-1,,1,1,1
01/01/2019,1,Prd2,FAM1,1,Ural & W.Siberia,FAM1,Omsk Oblast,2019,↓,0,-1,-1,,5,1,5
01/05/2019,5,Prd2,FAM1,2,Ural & W.Siberia,FAM1,Omsk Oblast,2019,↓,0,-1,-1,,1,1,1
26/03/2019,3,Prd2,FAM1,1,Ural & W.Siberia,FAM1,Tyumen Oblast,2019,↓,0,-1,-1,,1,1,1
21/12/2019,12,Prd2,FAM1,4,Ural & W.Siberia,FAM1,Tyumen Oblast,2019,↓,0,-1,-1,,1,1,1
01/01/2019,1,Prd2,FAM1,1,Volga,FAM1,Bashkortostan Republic,2019,↓,0,-1,-1,,2,1,2
29/02/2020,2,Prd2,FAM1,1,Volga,FAM1,Kirov Oblast,2020,↓,1,0,,,1,1,1
31/05/2020,5,Prd2,FAM1,2,Volga,FAM1,Kirov Oblast,2020,↓,1,0,,,1,1,1
01/01/2019,1,Prd2,FAM1,1,Volga,FAM1,Orenburg Oblast,2019,↓,0,-1,-1,,1,1,1
31/01/2019,1,Prd2,FAM1,1,Volga,FAM1,Perm Oblast,2019,↓,0,-1,-1,,1,1,1
01/03/2019,3,Prd2,FAM1,1,Volga,FAM1,Perm Oblast,2019,↓,0,-1,-1,,1,1,1
16/06/2019,6,Prd2,FAM1,2,Volga,FAM1,Samara Oblast,2019,↓,0,-1,-1,,1,1,1
16/03/2020,3,Prd2,FAM1,1,Volga,FAM1,Samara Oblast,2020,↓,4,0,,,4,1,4
15/05/2019,5,Prd2,FAM1,2,Volga,FAM1,Saratov Oblast,2019,↓,0,-1,-1,,1,1,1
11/06/2019,6,Prd2,FAM1,2,Volga,FAM1,Saratov Oblast,2019,↓,0,-1,-1,,1,1,1
21/06/2019,6,Prd2,FAM1,2,Volga,FAM1,Saratov Oblast,2019,↓,0,-1,-1,,1,1,1
01/02/2019,2,Prd2,FAM1,1,Volga,FAM1,Udmurt Republic,2019,↓,0,-1,-1,,1,1,1
01/03/2019,3,Prd2,FAM1,1,Volga,FAM1,Udmurt Republic,2019,↓,0,-1,-1,,1,1,1
31/05/2019,5,Prd2,FAM1,2,Volga,FAM1,Udmurt Republic,2019,↓,0,-1,-1,,1,1,1
01/07/2019,7,Prd2,FAM1,3,Volga,FAM1,Udmurt Republic,2019,↓,0,-1,-1,,1,1,1
02/05/2020,5,Prd2,FAM1,2,Volga,FAM1,Udmurt Republic,2020,↓,1,0,,,1,1,1
08/06/2020,6,Prd2,FAM1,2,Central,FAM1,Belgorod Oblast,2020,↓,1,0,,,1,1,1
09/06/2020,6,Prd2,FAM1,2,Central,FAM1,Belgorod Oblast,2020,↓,1,0,,,1,1,1
20/12/2019,12,Prd2,FAM1,4,Central,FAM1,Kursk Oblast,2019,↓,0,-1,-1,,1,1,1
01/01/2019,1,Prd2,FAM1,1,Central,FAM1,Tula Oblast,2019,↓,0,-1,-1,,2,1,2
07/07/2019,7,Prd2,FAM1,3,Central,FAM1,Tula Oblast,2019,↓,0,-1,-1,,2,1,2
08/07/2019,7,Prd2,FAM1,3,Central,FAM1,Tula Oblast,2019,↓,0,-1,-1,,2,1,2
15/07/2019,7,Prd2,FAM1,3,Central,FAM1,Tula Oblast,2019,↓,0,-1,-1,,5,1,5
01/01/2019,1,Prd2,FAM1,1,Central,FAM1,Voronezh Oblast,2019,↓,0,-1,-1,,1,1,1
12/12/2019,12,Prd2,FAM1,4,Central,FAM1,Voronezh Oblast,2019,↓,0,-1,-1,,1,1,1
19/12/2019,12,Prd2,FAM1,4,Central,FAM1,Voronezh Oblast,2019,↓,0,-1,-1,,1,1,1
04/03/2020,3,Prd2,FAM1,1,Central,FAM1,Voronezh Oblast,2020,↓,3,0,,,3,1,3
01/04/2019,4,Prd2,FAM1,2,E.Siberia & Far East,FAM1,Amur Oblast,2019,↓,0,-1,-1,,1,1,1
06/05/2019,5,Prd2,FAM1,2,E.Siberia & Far East,FAM1,Amur Oblast,2019,↓,0,-1,-1,,1,1,1
08/07/2019,7,Prd2,FAM1,3,E.Siberia & Far East,FAM1,Khabarovsk Oblast,2019,↓,0,-1,-1,,1,1,1
11/11/2019,11,Prd2,FAM1,4,E.Siberia & Far East,FAM1,Khabarovsk Oblast,2019,↓,0,-1,-1,,1,1,1
07/04/2019,4,Prd2,FAM1,2,E.Siberia & Far East,FAM1,Krasnoyarsk Oblast,2019,↓,0,-1,-1,,1,1,1
05/05/2019,5,Prd2,FAM1,2,E.Siberia & Far East,FAM1,Krasnoyarsk Oblast,2019,↓,0,-1,-1,,1,1,1
01/01/2019,1,Prd2,FAM1,1,E.Siberia & Far East,FAM1,Novosibirsk Oblast,2019,↓,0,-1,-1,,6,1,6
31/05/2019,5,Prd2,FAM1,2,E.Siberia & Far East,FAM1,Novosibirsk Oblast,2019,↓,0,-1,-1,,1,1,1
30/11/2019,11,Prd2,FAM1,4,E.Siberia & Far East,FAM1,Novosibirsk Oblast,2019,↓,0,-1,-1,,1,1,1
31/12/2019,12,Prd2,FAM1,4,E.Siberia & Far East,FAM1,Novosibirsk Oblast,2019,↓,0,-1,-1,,1,1,1
12/05/2019,5,Prd2,FAM1,2,E.Siberia & Far East,FAM1,Primorsky Oblast,2019,↓,0,-1,-1,,1,1,1
05/04/2020,4,Prd2,FAM1,2,E.Siberia & Far East,FAM1,Primorsky Oblast,2020,↓,1,0,,,1,1,1
01/01/2019,1,Prd2,FAM1,1,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
11/01/2019,1,Prd2,FAM1,1,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
22/01/2019,1,Prd2,FAM1,1,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
31/01/2019,1,Prd2,FAM1,1,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
